Level,Semester,GPA,Program,English in specialty,Human rights and the fight against corruption,Fundamentals of management,Calculus,Electronics,Fundamentals of computer science,Optical physics,Scientific and technical report writing,Discrete structures,Linear algebra,Probability and statistics,Programming,E-learning,Mutimedia,Advanced programming,Data structures,Logic design,Data communication,System analysis and design,Signals and systems,Operating systems,Software engineering,Computer network,Database system,Modeling and simulation,File organization and processing,Creative thinking,Computer graphics,Artificial intelligence,Information and computer networks security,Computer architecture and organization,Internet technology,Algorithms,Computer architecture,Advanced database systems,Advanced analysis and design of information systems,Concepts of porgramming languages,Genetic algorithms,Pattern recognition,Digital signals processing,Numerical methods,Advanced software engineering,Communication technology,Wireless and mobile networks,Data storage and retrieval,Advanced analysis and design of information systems,Data warehousing,Geographic information systems,Internet applications,Image processing,Advanced multimedia,Parallel processing,Project-1,Computer vision,Machine learning,Advanced computers networks,Selected Topics in information technology,Database design,Management information systems,Data mining,Selected topics in information systems,Neural networks,Knowledge based systems,Project-2,Compilers,Natural language processing,Embedded systems,Virtual reality,Distributed database,Quality assurance of information systems and programming,Output
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,1.61,general,53,61,66,80,61,77,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
1,2,1.84,general,87,61,66,80,61,77,70,pc,pc,pc,pc,pc,pc,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced programming','Data structures','Logic design','Data communication
']"
2,1,1.67,general,87,61,66,80,61,77,70,pc,pc,pc,pc,pc,pc,pc,59,66,60,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Operating systems ','Computer network','Database system ','Modeling and simulation']"
2,2,2.21,it,87,61,66,80,61,77,70,pc,pc,pc,pc,pc,pc,pc,91,66,60,63,68,,86,,84,88,79,85,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Computer architecture
','Computer graphics ','Artificial intelligence','Algorithms','Internet technology','Signals and systems']"
3,1,2.14,it,87,61,66,80,61,77,70,pc,pc,pc,pc,pc,pc,pc,91,66,60,63,68,70,86,,84,88,79,85,84,76,71,,,52,70,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Communication technology
','Digital signals processing
','Pattern recognition','Wireless and mobile networks','Numerical methods','Advanced software engineering']"
3,2,2.21,it,87,61,66,80,61,77,70,pc,pc,pc,pc,pc,pc,pc,91,66,60,63,68,70,86,,84,88,79,85,84,76,71,,,52,70,65,,,,,60,75,72,86,66,81,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Advanced computers networks
','Advanced multimedia
','Image processing','Project-1','Computer vision ','Selected Topics in information technology']"
4,1,2.27,it,87,61,66,80,61,77,70,pc,pc,pc,pc,pc,pc,pc,91,66,60,63,68,70,86,,84,88,79,85,84,76,71,,,52,70,65,,,,,60,75,72,86,66,81,,,,,,67,76,,94,72,,67,75,,,,,,,,,,,,,,"['Neural networks','Knowledge based system','Project-2','Embedded systems','Virtual reality','Software engineering
']"
0,0,0,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['English in specialty','Human rights and the fight against corruption','Fundamentals of management','Calculus ','Electronics
','Fundamentals of computer science','Optical physics']"
1,1,2.16,general,63,68,60,82,70,75,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Scientific and technical report writing
','Discrete structures ','Linear algebra ','Probability and statistics','Programming','E-learning','Mutimedia']"
